Sample # for lipid	Pop	Site	Indv	Spawn	Protein	HC	TG	FA	CH	PL
1	LC	LUM	1	Y	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
2	LC	LUM	2	Y	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
3	LC	LUM	4	Y	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
4	LC	LUM	5	Y	6.070281105	10.24803361	65.59000679	9.864584646	6.75913265	491.650396
5	LC	LUM	8	Y	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
6	LC	LUM	9	Y	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
7	LC	LUM	10	Y	20.104368	29.76403201	379.7336158	45.36463107	21.65004364	536.1475241
8	LC	GI	1	N	23.43787475	26.21966147	275.3038693	48.78674931	17.46472214	748.9721109
9	LC	GI	2	Y	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
10	LC	GI	3	Y	23.48570227	16.94100271	161.1517397	29.57229352	11.87088089	422.4652966
11	LC	GI	4	Y	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
12	LC	GI	5	Y	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
13	LC	GI	6	Y	26.28135916	82.27637258	1364.021444	160.0779609	49.1877859	1158.669073
14	LC	GI	7	N	11.65800763	46.76107874	770.1220342	91.92827041	34.01558607	847.6160865
15	LC	GI	4D		10.96310287	21.3708203	296.9980485	25.63242459	10.10484908	716.4027555
16	LC	GI	15D		21.78378246	24.87085911	359.1380344	61.88165731	18.7528881	493.234447
17	VB	LUM	4	N	22.15801127	35.94566333	485.6169266	62.18775512	32.13894367	1147.860013
18	VB	LUM	8	N	12.03705742	26.22310159	471.4069388	30.60772235	27.39397317	567.9077338
19	VB	LUM	10	N	6.959774492	16.09714973	146.3461165	25.13536311	4.059171998	387.3945452
20	VB	LUM	12	N	25.42949862	8.024470607	79.21782689	5.823751633	5.065607497	250.1571584
21	VB	LUM	15	N	22.83030624	38.59501174	883.1750503	71.64301808	66.58029327	1207.318949
22	VB	LUM	16	N	25.80730654	64.76284813	784.12247	58.52237416	47.19831311	916.4103421
23	VB	LUM	19	N	32.72129126	28.42142485	390.6128993	32.31321076	14.59059827	493.6285971
24	VB	LUM	21	Y	27.79044676	62.07774776	1470.619937	125.3384857	75.93148605	1019.515449
25	VB	GI	3	Y	19.22660377	62.48346412	557.6272695	70.00744737	31.87477217	585.2711825
26	VB	GI	5		18.00876897	29.32565591	520.8709974	53.81130505	22.08557175	593.3484575
27	VB	GI	8	N		63.81379434	1449.691851	90.31363208	62.78682865	854.0010356
28	VB	GI	10	N	34.01310225	55.84557361	156.2242924	65.09591283	61.2234819	831.7192235
29	VB	GI	11	N	11.21485547	14.85796347	253.5556877	25.40910342	14.95468584	454.868698
30	VB	GI	16	N	23.30258442	39.04513113	958.5374382	55.43991457	41.33705255	825.2543514
