animal	Length	Family	Sire	Dam	Salinity	SireID	DamID	Protein	HC	TG	FA	CH	PL
1	0.07	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
2	0.063	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
3	0.073	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
4	0.072	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
5	0.082	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
6	0.066	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
7	0.082	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
8	0.07	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
9	0.088	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
10	0.07	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
11	0.092	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
12	0.068	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
13	0.075	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
14	0.08	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
15	0.077	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
16	0.085	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
17	0.07	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
18	0.071	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
19	0.083	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
20	0.066	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
21	0.086	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
22	0.081	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
23	0.086	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
24	0.078	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
25	0.072	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
26	0.07	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
27	0.071	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
28	0.071	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
29	0.067	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
30	0.085	AA	L	L	H	SL3	DL1	25.92534549	63.51475155	676.4564325	54.49177861	24.42081333	1063.827847
31	0.068	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
32	0.084	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
33	0.081	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
34	0.073	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
35	0.074	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
36	0.074	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
