animal	FATHER	MOTHER
SL3	NA	NA
SL4	NA	NA
SL6	NA	NA
SL8	NA	NA
SH7	NA	NA
SH8	NA	NA
SH11	NA	NA
SH12	NA	NA
SH13	NA	NA
SH15D	NA	NA
SH4D	NA	NA
DL1	NA	NA
DH2	NA	NA
DL3	NA	NA
DL8	NA	NA
DH4	NA	NA
DH5	NA	NA
DL10	NA	NA
DH6	NA	NA
DH16D	NA	NA
DL2	NA	NA
DL4	NA	NA
DH3	NA	NA
DL5	NA	NA
DL9	NA	NA
SL7	NA	NA
VSL1	NA	NA
VDH3	NA	NA
VSH4	NA	NA
VDH4	NA	NA
VSH26	NA	NA
VDL21	NA	NA
VDH28	NA	NA
VDH29	NA	NA
VSL29	NA	NA
VDL26	NA	NA
VSH31	NA	NA
VSL39	NA	NA
VDL51	NA	NA
VDH32	NA	NA
1	SL3	DL1
2	SL3	DL1
3	SL3	DL1
4	SL3	DL1
5	SL3	DL1
6	SL3	DL1
7	SL3	DL1
8	SL3	DL1
9	SL3	DL1
10	SL3	DL1
11	SL3	DL1
12	SL3	DL1
13	SL3	DL1
14	SL3	DL1
15	SL3	DL1
16	SL3	DL1
17	SL3	DL1
18	SL3	DL1
19	SL3	DL1
20	SL3	DL1
21	SL3	DL1
22	SL3	DL1
23	SL3	DL1
24	SL3	DL1
25	SL3	DL1
26	SL3	DL1
27	SL3	DL1
28	SL3	DL1
29	SL3	DL1
30	SL3	DL1
31	SL3	DL2
32	SL3	DL2
33	SL3	DL2
34	SL3	DL2
35	SL3	DL2
36	SL3	DL2
37	SL3	DL2
38	SL3	DL2
39	SL3	DL2
40	SL3	DL2
41	SL3	DL2
42	SL3	DL2
43	SL3	DL2
44	SL3	DL2
45	SL3	DL2
46	SL3	DL2
47	SL3	DL2
48	SL3	DL2
49	SL3	DL2
50	SL3	DL2
51	SL3	DL2
52	SL3	DL2
53	SL3	DL2
54	SL3	DL2
55	SL3	DL2
56	SL3	DL2
57	SL3	DL2
58	SL3	DL2
59	SL3	DL2
60	SL3	DL2
61	SL3	DL2
62	SL3	DL2
63	SL3	DL2
64	SL3	DL2
65	SL3	DH2
66	SL3	DH2
67	SL3	DH2
68	SL3	DH2
69	SL3	DH2
70	SL3	DH2
71	SL3	DH2
72	SL3	DH2
73	SL3	DH2
74	SL3	DH2
75	SL3	DH2
76	SL3	DH2
77	SL3	DH2
78	SL3	DH2
79	SL3	DH2
80	SL3	DH2
81	SL3	DH2
82	SL3	DH2
83	SL3	DH2
84	SL3	DH2
85	SL3	DH2
86	SL3	DH2
87	SL3	DH2
88	SL3	DH2
89	SL3	DH2
90	SL3	DH2
91	SL3	DH2
92	SL3	DH2
93	SL3	DH2
94	SL3	DH2
95	SL3	DH2
96	SL3	DH2
97	SL3	DH2
98	SL3	DH2
99	SL3	DH2
100	SL3	DH2
101	SL3	DH2
102	SL3	DH2
103	SL3	DH2
104	SL3	DH2
105	SL3	DH2
106	SL3	DH2
107	SL3	DH2
108	SL3	DH2
109	SL3	DH2
110	SL3	DH2
111	SL3	DH2
112	SL3	DH2
113	SL3	DH2
114	SL3	DH2
115	SL3	DH2
116	SL3	DH2
117	SL3	DH2
118	SL3	DH2
119	SL3	DH2
120	SL3	DH2
121	SL3	DH2
122	SL3	DH2
123	SL3	DH2
124	SL3	DH2
125	SL3	DH2
126	SL3	DH2
127	SL3	DH2
128	SL3	DH2
129	SL3	DH2
130	SL3	DH2
131	SL3	DH2
132	SL3	DH2
133	SL3	DH2
134	SL3	DH2
135	SL3	DH2
136	SL3	DH2
137	SL3	DH2
138	SL3	DH2
139	SL3	DH2
140	SL3	DH2
141	SL3	DH2
142	SL3	DH2
143	SL3	DH2
144	SL3	DH2
145	SL3	DH2
146	SL3	DH2
147	SL3	DH2
148	SL3	DH2
149	SL3	DH2
150	SL3	DH2
151	SL3	DH2
152	SL3	DH2
153	SL3	DH2
154	SL3	DH2
155	SL3	DH2
156	SL3	DH2
157	SL3	DH2
158	SL3	DH2
159	SL3	DH2
160	SL3	DH2
161	SL3	DH2
162	SL3	DH2
163	SL3	DH2
164	SL3	DH2
165	SL3	DH2
166	SL3	DH2
167	SH11	DL4
168	SH11	DL4
169	SH11	DL4
170	SH11	DL4
171	SH11	DL4
172	SH11	DL4
173	SH11	DL4
174	SH11	DL4
175	SH11	DL4
176	SH11	DL4
177	SH11	DL4
178	SH11	DL4
179	SH11	DL4
180	SH11	DL4
181	SH11	DL4
182	SH11	DL4
183	SH11	DL4
184	SH11	DL4
185	SH11	DL4
186	SH11	DL4
187	SH11	DL4
188	SH11	DL4
189	SH11	DL4
190	SH11	DL4
191	SH11	DL4
192	SH11	DL4
193	SH11	DL4
194	SH11	DL4
195	SH11	DL4
196	SH11	DL4
197	SH11	DL4
198	SH11	DL4
199	SH11	DL4
200	SH11	DL4
201	SH11	DL4
202	SH11	DL4
203	SH11	DL4
204	SH11	DL4
205	SH11	DL4
206	SH11	DL4
207	SH11	DL4
208	SH11	DL4
209	SH11	DL4
210	SH11	DL4
211	SH11	DL4
212	SH11	DL4
213	SH11	DL4
214	SH11	DL4
215	SH11	DL4
216	SH11	DL4
217	SH11	DL4
218	SH11	DL4
219	SH11	DL4
220	SH11	DL4
221	SH11	DL4
222	SH11	DL4
223	SH11	DL4
224	SH11	DL4
225	SH11	DL4
226	SH11	DL4
227	SH11	DL4
228	SH11	DL4
229	SH11	DL4
230	SH11	DL4
231	SH11	DL4
232	SH11	DL4
233	SH11	DL4
234	SH11	DL4
235	SH11	DL4
236	SH11	DL4
237	SH11	DL4
238	SH11	DL4
239	SH11	DL4
240	SH11	DL4
241	SH11	DL4
242	SH11	DL4
243	SH11	DL4
244	SH11	DL4
245	SH11	DL4
246	SH11	DL4
247	SH11	DL4
248	SH11	DL4
249	SH11	DL4
250	SH11	DL4
251	SH11	DL4
252	SH11	DL4
253	SH11	DL4
254	SH11	DL4
255	SH11	DL4
256	SH11	DL4
257	SH11	DL5
258	SH11	DL5
259	SH11	DL5
260	SH11	DL5
261	SH11	DL5
262	SH11	DL5
263	SH11	DL5
264	SH11	DL5
265	SH11	DL5
266	SH11	DL5
267	SH11	DL5
268	SH11	DL5
269	SH11	DL5
270	SH11	DL5
271	SH11	DL5
272	SH11	DL5
273	SH11	DL5
274	SH11	DL5
275	SH11	DL5
276	SH11	DL5
277	SH11	DL5
278	SH11	DL5
279	SH11	DL5
280	SH11	DL5
281	SH11	DL5
282	SH11	DL5
283	SH11	DL5
284	SH11	DL5
285	SH11	DL5
286	SH11	DL5
287	SH11	DL5
288	SH11	DL5
289	SH11	DL5
290	SH11	DL5
291	SH11	DL5
292	SH11	DL5
293	SH11	DL5
294	SH11	DL5
295	SH11	DL5
296	SH11	DL5
297	SH11	DL5
298	SH11	DL5
299	SH11	DL5
300	SH11	DL5
301	SH11	DL5
302	SH11	DL5
303	SH11	DL5
304	SH11	DL5
305	SH11	DL5
306	SH11	DL5
307	SH11	DL5
308	SH11	DL5
309	SH11	DL5
310	SH11	DL5
311	SH11	DL5
312	SH11	DL5
313	SH11	DL5
314	SH11	DL5
315	SH11	DL5
316	SH11	DL5
317	SH11	DL5
318	SH11	DL5
319	SH11	DL5
320	SH11	DL5
321	SH11	DL5
322	SH11	DL5
323	SH11	DL5
324	SH11	DL5
325	SH11	DL5
326	SH11	DL5
327	SH11	DL5
328	SH11	DL5
329	SH11	DL5
330	SH11	DL5
331	SH11	DL5
332	SH11	DL5
333	SH11	DL5
334	SH11	DL5
335	SH11	DL5
336	SH11	DL5
337	SH11	DL5
338	SH11	DL5
339	SH11	DL5
340	SH11	DH4
341	SH11	DH4
342	SH11	DH4
343	SH11	DH4
344	SH11	DH4
345	SH11	DH4
346	SH11	DH4
347	SH11	DH4
348	SH11	DH4
349	SH11	DH4
350	SH11	DH4
351	SH11	DH4
352	SH11	DH4
353	SH11	DH4
354	SH11	DH4
355	SH11	DH4
356	SH11	DH4
357	SH11	DH4
358	SH11	DH4
359	SH11	DH4
360	SH11	DH4
361	SH11	DH4
362	SH11	DH4
363	SH11	DH4
364	SH11	DH4
365	SH11	DH4
366	SH11	DH4
367	SH11	DH4
368	SH11	DH4
369	SH11	DH4
370	SH11	DH4
371	SH11	DH4
372	SH11	DH4
373	SH11	DH4
374	SH11	DH4
375	SH11	DH4
376	SH11	DH4
377	SH11	DH4
378	SH11	DH4
379	SH11	DH4
380	SH11	DH4
381	SH11	DH4
382	SH11	DH4
383	SH11	DH4
384	SH11	DH4
385	SH11	DH4
386	SH11	DH4
387	SH11	DH4
388	SH11	DH4
389	SH11	DH4
390	SH11	DH4
391	SH11	DH4
392	SH11	DH4
393	SH11	DH4
394	SH11	DH4
395	SH11	DH4
396	SH11	DH4
397	SH11	DH4
398	SH11	DH4
399	SH11	DH4
400	SH11	DH4
401	SH11	DH4
402	SH11	DH4
403	SH11	DH4
