Site	Date	Cum_date	Mortality	Replicate
GI	Feb-Apr	1	13.30472103	1
GI	Apr-Jun	2	15.42960532	1
GI	Jun-Sep	3	17.12951275	1
GI	Sep-Nov	4	18.40444332	1
GI	Nov-Feb	5	18.40444332	1
GI	Feb-Apr	6	19.00441065	1
GI	Apr-jul	7	20.93287706	1
GI	Jul-oct	8	29.99265157	1
GI	Feb-Apr	1	6.451612903	2
GI	Apr-Jun	2	10.49694856	2
GI	Jun-Sep	3	12.47710457	2
GI	Sep-Nov	4	14.04702197	2
GI	Nov-Feb	5	15.24081334	2
GI	Feb-Apr	6	18.42425697	2
GI	Apr-jul	7	26.83412738	2
GI	Jul-oct	8	39.60132663	2
GI	Feb-Apr	1	7.843137255	3
GI	Apr-Jun	2	9.803921569	3
GI	Jun-Sep	3	10.19779091	3
GI	Sep-Nov	4	10.59514581	3
GI	Nov-Feb	5	11.4116285	3
GI	Feb-Apr	6	11.81986984	3
GI	Apr-jul	7	14.50828845	3
GI	Jul-oct	8	21.08457395	3
LUM	Feb-Apr	1	2.553191489	1
LUM	Apr-Jun	2	2.976873265	1
LUM	Jun-Sep	3	17.14396699	1
LUM	Sep-Nov	4	17.98943672	1
LUM	Nov-Feb	5	21.89470164	1
LUM	Feb-Apr	6	23.19645661	1
LUM	Apr-jul	7	27.85121681	1
LUM	Jul-oct	8	33.50994491	1
LUM	Feb-Apr	1	1.515151515	2
LUM	Apr-Jun	2	2.647161268	2
LUM	Jun-Sep	3	7.971144636	2
LUM	Sep-Nov	4	11.7739899	2
LUM	Nov-Feb	5	16.33740421	2
LUM	Feb-Apr	6	21.49197173	2
LUM	Apr-jul	7	33.00100205	2
LUM	Jul-oct	8	45.5008151	2
LUM	Feb-Apr	1	0.414937759	3
LUM	Apr-Jun	2	0.829875519	3
LUM	Jun-Sep	3	3.35114987	3
LUM	Sep-Nov	4	5.003266966	3
LUM	Nov-Feb	5	5.972621385	3
LUM	Feb-Apr	6	8.383579811	3
LUM	Apr-jul	7	15.54910988	3
LUM	Jul-oct	8	26.10547115	3
