Cross	Salinity	Sire	Dam	Alive	Dead	%survival
AA	H	L	L	30	24	0.555555556
AB	H	L	L	32	58	0.355555556
AD	L	L	H	52	3	0.945454545
AD	H	L	H	50	4	0.925925926
AU	L	H	L	35	43	0.448717949
AU	H	H	L	55	38	0.591397849
AV	L	H	L	31	15	0.673913043
AV	H	H	L	59	21	0.7375
AW	L	H	H	31	67	0.316326531
AW	H	H	H	37	33	0.528571429
AX	L	H	H	20	59	0.253164557
AY	L	L	L	57	6	0.904761905
AY	H	L	L	53	3	0.946428571
AZ	H	L	L	62	8	0.885714286
BA	L	L	H	19	2	0.904761905
BA	H	L	H	30	25	0.545454545
BB	L	L	H	34	41	0.453333333
BB	H	L	H	37	16	0.698113208
BC	L	H	L	46	19	0.707692308
BC	H	H	L	11	16	0.407407407
BD	L	H	L	35	25	0.583333333
BD	H	H	L	37	20	0.649122807
BE	L	H	H	50	6	0.892857143
BE	H	H	H	32	56	0.363636364
BF	L	H	H	30	25	0.545454545
BH	L	L	L	29	220	0.116465863
BI	L	L	H	38	51	0.426966292
BI	H	L	H	35	41	0.460526316
BL	L	H	L	54	7	0.885245902
BM	L	H	H	40	21	0.655737705
BM	H	H	H	50	22	0.694444444
BO	L	L	L	52	1	0.981132075
BO	H	L	L	51	1	0.980769231
BQ	L	L	H	51	13	0.796875
BQ	H	L	H	52	0	1
CK	L	H	H	50	8	0.862068966
CK	H	H	H	32	113	0.220689655
CL	L	H	H	24	50	0.324324324
AE	H	H	L	20	19	0.512820513
AF	H	H	L	39	15	0.722222222
AH	L	H	H	56	1	0.98245614
AH	H	H	H	51	8	0.86440678
AI	L	L	L	29	37	0.439393939
AI	H	L	L	34	12	0.739130435
AM	L	H	L	49	6	0.890909091
AM	H	H	L	39	2	0.951219512
AO	L	H	H	35	4	0.897435897
AO	H	H	H	60	3	0.952380952
AN	L	H	L	44	8	0.846153846
AN	H	H	L	39	14	0.735849057
XC	H	L	H	38	33	0.535211268
XG	H	H	H	30	79	0.275229358
XH	H	H	H	23	27	0.46
YL	L	H	L	16	4	0.8
YL	H	H	L	38	2	0.95
YM	L	H	H	46	30	0.605263158
YM	H	H	H	31	25	0.553571429
YN	L	H	H	47	12	0.796610169
YN	H	H	H	34	6	0.85
YO	L	L	L	13	1	0.928571429
YO	H	L	L	37	3	0.925
YQ	L	L	H	44	0	1
YQ	H	L	H	47	0	1
YR	L	L	H	45	0	1
YR	H	L	H	54	1	0.981818182
YU	L	H	H	51	3	0.944444444
YU	H	H	H	46	3	0.93877551
YV	L	H	H	57	1	0.982758621
YV	H	H	H	48	0	1
YX	L	L	L	51	28	0.64556962
