Site	Size_mm
LUM	91
LUM	102
LUM	75
LUM	90
LUM	86
LUM	115
LUM	94
LUM	85
LUM	96
LUM	85
LUM	95
LUM	66
LUM	76
LUM	87
LUM	97
LUM	57
LUM	55
LUM	52
GI	131
GI	106
GI	122
GI	100
GI	125
GI	116
GI	112
GI	105
GI	129
GI	137
GI	108
GI	128
GI	133
GI	132
GI	102
GI	107
GI	119
GI	107
GI	114
GI	119
GI	160
LUM	90
LUM	92
LUM	96
LUM	77
LUM	98
LUM	99
LUM	73
LUM	72
LUM	117
LUM	112
LUM	109
LUM	99
LUM	98
LUM	103
LUM	97
LUM	88
LUM	95
LUM	89
LUM	69
GI	123
GI	130
GI	107
GI	114
GI	119
GI	116
GI	121
GI	102
GI	112
GI	118
GI	117
GI	114
GI	130
GI	111
GI	106
GI	122
GI	115
GI	111
GI	112
GI	108
GI	131
GI	111
GI	111
GI	117
GI	110
GI	109
GI	135
GI	134
GI	115
GI	131
GI	107
GI	130
GI	126
GI	122
GI	118
LUM	83
LUM	82
LUM	84
LUM	87
LUM	101
LUM	91
LUM	119
LUM	91
LUM	106
LUM	111
LUM	86
LUM	94
LUM	86
LUM	91
LUM	75
LUM	73
LUM	87
LUM	103
GI	117
GI	113
GI	120
GI	119
GI	121
GI	125
GI	116
GI	120
GI	111
GI	122
GI	121
GI	128
GI	108
GI	97
GI	124
GI	98
GI	104
GI	106
LUM	70
LUM	81
LUM	76
LUM	71
LUM	76
LUM	81
LUM	70
LUM	73
LUM	66
LUM	58
LUM	69
LUM	84
LUM	80
LUM	80
LUM	75
LUM	76
LUM	69
LUM	82
LUM	65
GI	111
GI	95
GI	120
GI	116
GI	94
GI	107
GI	137
GI	115
GI	122
GI	124
GI	117
GI	98
GI	128
GI	126
GI	112
GI	113
GI	105
LUM	85
LUM	95
LUM	95
LUM	85
LUM	112
LUM	82
LUM	79
LUM	86
LUM	99
LUM	99
LUM	77
LUM	114
LUM	83
LUM	69
LUM	114
LUM	79
LUM	66
LUM	88
LUM	100
LUM	82
LUM	85
LUM	94
LUM	90
LUM	102
LUM	90
LUM	87
LUM	86
LUM	105
LUM	71
LUM	83
LUM	98
GI	121
GI	107
GI	116
GI	111
GI	102
GI	101
GI	106
GI	127
GI	117
GI	126
GI	107
GI	127
GI	119
GI	118
GI	123
GI	119
GI	122
GI	105
GI	120
GI	140
GI	125
GI	112
GI	90
GI	160
GI	119
GI	104
GI	104
GI	102
GI	112
GI	121
GI	97
GI	127
GI	102
GI	108
GI	111
GI	112
GI	99
GI	130
GI	104
GI	109
GI	120
GI	99
GI	93
GI	101
GI	93
GI	100
GI	124
GI	109
GI	106
GI	135
GI	112
GI	109
GI	102
GI	107
GI	127
GI	111
GI	116
GI	139
GI	112
GI	103
GI	132
GI	100
GI	119
LUM	98
LUM	109
LUM	89
LUM	92
LUM	102
LUM	113
LUM	87
LUM	99
LUM	86
LUM	85
LUM	82
LUM	98
LUM	114
LUM	93
LUM	91
LUM	105
LUM	99
LUM	100
LUM	83
LUM	91
LUM	91
