animal	Length	Family	Sire	Dam	Salinity	SireID	DamID
1	0.07	AA	L	L	H	SL3	DL1
2	0.063	AA	L	L	H	SL3	DL1
3	0.073	AA	L	L	H	SL3	DL1
4	0.072	AA	L	L	H	SL3	DL1
5	0.082	AA	L	L	H	SL3	DL1
6	0.066	AA	L	L	H	SL3	DL1
7	0.082	AA	L	L	H	SL3	DL1
8	0.07	AA	L	L	H	SL3	DL1
9	0.088	AA	L	L	H	SL3	DL1
10	0.07	AA	L	L	H	SL3	DL1
11	0.092	AA	L	L	H	SL3	DL1
12	0.068	AA	L	L	H	SL3	DL1
13	0.075	AA	L	L	H	SL3	DL1
14	0.08	AA	L	L	H	SL3	DL1
15	0.077	AA	L	L	H	SL3	DL1
16	0.085	AA	L	L	H	SL3	DL1
17	0.07	AA	L	L	H	SL3	DL1
18	0.071	AA	L	L	H	SL3	DL1
19	0.083	AA	L	L	H	SL3	DL1
20	0.066	AA	L	L	H	SL3	DL1
21	0.086	AA	L	L	H	SL3	DL1
22	0.081	AA	L	L	H	SL3	DL1
23	0.086	AA	L	L	H	SL3	DL1
24	0.078	AA	L	L	H	SL3	DL1
25	0.072	AA	L	L	H	SL3	DL1
26	0.07	AA	L	L	H	SL3	DL1
27	0.071	AA	L	L	H	SL3	DL1
28	0.071	AA	L	L	H	SL3	DL1
29	0.067	AA	L	L	H	SL3	DL1
30	0.085	AA	L	L	H	SL3	DL1
31	0.068	AB	L	L	H	SL3	DL2
32	0.084	AB	L	L	H	SL3	DL2
33	0.081	AB	L	L	H	SL3	DL2
34	0.073	AB	L	L	H	SL3	DL2
35	0.074	AB	L	L	H	SL3	DL2
36	0.074	AB	L	L	H	SL3	DL2
37	0.073	AB	L	L	H	SL3	DL2
38	0.068	AB	L	L	H	SL3	DL2
39	0.071	AB	L	L	H	SL3	DL2
40	0.082	AB	L	L	H	SL3	DL2
41	0.074	AB	L	L	H	SL3	DL2
42	0.076	AB	L	L	H	SL3	DL2
43	0.076	AB	L	L	H	SL3	DL2
44	0.075	AB	L	L	H	SL3	DL2
45	0.076	AB	L	L	H	SL3	DL2
46	0.077	AB	L	L	H	SL3	DL2
47	0.087	AB	L	L	H	SL3	DL2
48	0.075	AB	L	L	H	SL3	DL2
49	0.075	AB	L	L	H	SL3	DL2
50	0.075	AB	L	L	H	SL3	DL2
51	0.073	AB	L	L	H	SL3	DL2
52	0.075	AB	L	L	H	SL3	DL2
53	0.076	AB	L	L	H	SL3	DL2
54	0.068	AB	L	L	H	SL3	DL2
55	0.079	AB	L	L	H	SL3	DL2
56	0.078	AB	L	L	H	SL3	DL2
57	0.085	AB	L	L	H	SL3	DL2
58	0.08	AB	L	L	H	SL3	DL2
59	0.068	AB	L	L	H	SL3	DL2
60	0.079	AB	L	L	H	SL3	DL2
61	0.06	AB	L	L	H	SL3	DL2
62	0.083	AB	L	L	H	SL3	DL2
63	0.077	AB	L	L	H	SL3	DL2
64	0.078	AB	L	L	H	SL3	DL2
65	0.069	AD	L	H	L	SL3	DH2
66	0.078	AD	L	H	L	SL3	DH2
67	0.086	AD	L	H	L	SL3	DH2
68	0.074	AD	L	H	L	SL3	DH2
69	0.071	AD	L	H	L	SL3	DH2
70	0.069	AD	L	H	L	SL3	DH2
71	0.08	AD	L	H	L	SL3	DH2
72	0.072	AD	L	H	L	SL3	DH2
73	0.076	AD	L	H	L	SL3	DH2
74	0.084	AD	L	H	L	SL3	DH2
75	0.082	AD	L	H	L	SL3	DH2
76	0.099	AD	L	H	L	SL3	DH2
77	0.087	AD	L	H	L	SL3	DH2
78	0.086	AD	L	H	L	SL3	DH2
79	0.072	AD	L	H	L	SL3	DH2
80	0.086	AD	L	H	L	SL3	DH2
81	0.08	AD	L	H	L	SL3	DH2
82	0.073	AD	L	H	L	SL3	DH2
83	0.064	AD	L	H	L	SL3	DH2
84	0.078	AD	L	H	L	SL3	DH2
85	0.089	AD	L	H	L	SL3	DH2
86	0.091	AD	L	H	L	SL3	DH2
87	0.07	AD	L	H	L	SL3	DH2
88	0.08	AD	L	H	L	SL3	DH2
89	0.074	AD	L	H	L	SL3	DH2
90	0.076	AD	L	H	L	SL3	DH2
91	0.086	AD	L	H	L	SL3	DH2
92	0.086	AD	L	H	L	SL3	DH2
93	0.089	AD	L	H	L	SL3	DH2
94	0.083	AD	L	H	L	SL3	DH2
95	0.077	AD	L	H	L	SL3	DH2
96	0.093	AD	L	H	L	SL3	DH2
97	0.082	AD	L	H	L	SL3	DH2
98	0.082	AD	L	H	L	SL3	DH2
99	0.076	AD	L	H	L	SL3	DH2
100	0.075	AD	L	H	L	SL3	DH2
101	0.083	AD	L	H	L	SL3	DH2
102	0.085	AD	L	H	L	SL3	DH2
103	0.084	AD	L	H	L	SL3	DH2
104	0.087	AD	L	H	L	SL3	DH2
105	0.081	AD	L	H	L	SL3	DH2
106	0.083	AD	L	H	L	SL3	DH2
107	0.057	AD	L	H	L	SL3	DH2
108	0.086	AD	L	H	L	SL3	DH2
109	0.094	AD	L	H	L	SL3	DH2
110	0.08	AD	L	H	L	SL3	DH2
111	0.084	AD	L	H	L	SL3	DH2
112	0.075	AD	L	H	L	SL3	DH2
113	0.085	AD	L	H	L	SL3	DH2
114	0.075	AD	L	H	L	SL3	DH2
115	0.08	AD	L	H	L	SL3	DH2
116	0.069	AD	L	H	H	SL3	DH2
117	0.078	AD	L	H	H	SL3	DH2
118	0.086	AD	L	H	H	SL3	DH2
119	0.074	AD	L	H	H	SL3	DH2
120	0.071	AD	L	H	H	SL3	DH2
121	0.069	AD	L	H	H	SL3	DH2
122	0.08	AD	L	H	H	SL3	DH2
123	0.072	AD	L	H	H	SL3	DH2
124	0.076	AD	L	H	H	SL3	DH2
125	0.084	AD	L	H	H	SL3	DH2
126	0.082	AD	L	H	H	SL3	DH2
127	0.099	AD	L	H	H	SL3	DH2
128	0.087	AD	L	H	H	SL3	DH2
129	0.086	AD	L	H	H	SL3	DH2
130	0.072	AD	L	H	H	SL3	DH2
131	0.086	AD	L	H	H	SL3	DH2
132	0.08	AD	L	H	H	SL3	DH2
133	0.073	AD	L	H	H	SL3	DH2
134	0.064	AD	L	H	H	SL3	DH2
135	0.078	AD	L	H	H	SL3	DH2
136	0.089	AD	L	H	H	SL3	DH2
137	0.091	AD	L	H	H	SL3	DH2
138	0.07	AD	L	H	H	SL3	DH2
139	0.08	AD	L	H	H	SL3	DH2
140	0.074	AD	L	H	H	SL3	DH2
141	0.076	AD	L	H	H	SL3	DH2
